
                             U1 Node 2 in NSET                   
                  X                 RIGHT              RF1       

                0.                 0.                -0.         
               71.4286E-03        71.4286E-03         9.38072E+03
              142.857E-03        142.857E-03         18.7415E+03 
              214.286E-03        214.286E-03         28.0823E+03 
              285.714E-03        285.714E-03         37.4034E+03 
              357.143E-03        357.143E-03         46.7046E+03 
              428.571E-03        428.571E-03         55.9861E+03 
              500.E-03           500.E-03            65.2478E+03 
              571.429E-03        571.429E-03         74.49E+03   
              642.857E-03        642.857E-03         83.7125E+03 
              714.286E-03        714.286E-03         92.9155E+03 
              785.714E-03        785.714E-03        102.099E+03  
              857.143E-03        857.143E-03        111.263E+03  
              928.571E-03        928.571E-03        120.408E+03  
                1.                 1.               129.533E+03  




