********************************************************************************
Field Output Report, written Sat Feb 24 11:10:47 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      1: Step Time =   7.1429E-02

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     758.890E-06     758.890E-06    -272.817E-06    -272.817E-06    -39.3256E-06    -39.3256E-06
               2     710.721E-06     710.721E-06    -225.115E-06    -225.115E-06    -119.872E-09    -119.872E-09
               3     711.178E-06     711.178E-06    -226.150E-06    -226.150E-06    -13.5405E-09    -13.5405E-09
               4     718.797E-06     718.797E-06    -228.619E-06    -228.619E-06     4.01877E-06     4.01877E-06
               5     759.149E-06     759.149E-06    -272.785E-06    -272.785E-06     37.8506E-06     37.8506E-06
               6     710.721E-06     710.721E-06    -225.115E-06    -225.115E-06     119.861E-09     119.861E-09
               7     566.989E-06     566.989E-06    -165.861E-06    -165.861E-06    -5.85548E-06    -5.85548E-06
               8     716.136E-06     716.136E-06    -227.782E-06    -227.782E-06    -3.37690E-06    -3.37690E-06
               9     760.901E-06     760.901E-06    -274.786E-06    -274.786E-06     43.3554E-06     43.3554E-06
              10     736.335E-06     736.335E-06    -166.671E-06    -166.671E-06     2.30340E-06     2.30340E-06
              11     718.940E-06     718.940E-06    -228.666E-06    -228.666E-06    -4.01881E-06    -4.01881E-06
              12     711.178E-06     711.178E-06    -226.150E-06    -226.150E-06     13.5432E-09     13.5432E-09
              13     603.944E-06     603.944E-06    -9.24450E-06    -9.24450E-06    -116.916E-06    -116.916E-06
              14     1.04011E-03     1.04011E-03    -194.770E-06    -194.770E-06    -464.488E-06    -464.488E-06
              15     760.177E-06     760.177E-06    -274.770E-06    -274.770E-06    -46.0019E-06    -46.0019E-06
              16     716.226E-06     716.226E-06    -227.813E-06    -227.813E-06     3.38048E-06     3.38048E-06
              17     735.748E-06     735.748E-06    -165.636E-06    -165.636E-06    -5.80971E-06    -5.80971E-06
              18     603.950E-06     603.950E-06    -9.25160E-06    -9.25160E-06     116.889E-06     116.889E-06
              19     569.826E-06     569.826E-06    -168.660E-06    -168.660E-06    -5.84877E-06    -5.84877E-06
              20     1.04011E-03     1.04011E-03    -194.770E-06    -194.770E-06     464.487E-06     464.487E-06
              21     149.076E-06     149.076E-06    -501.579E-06    -501.579E-06     1.25815E-06     1.25815E-06
              22     546.875E-06     546.875E-06    -56.6802E-06    -56.6802E-06    -753.178E-06    -753.178E-06
              23     1.77847E-03     1.77847E-03    -458.611E-06    -458.611E-06     559.026E-09     559.026E-09
              24     554.716E-06     554.716E-06    -55.6195E-06    -55.6195E-06     763.734E-06     763.734E-06
              25     555.769E-06     555.769E-06    -55.8170E-06    -55.8170E-06     765.266E-06     765.266E-06
