********************************************************************************
Field Output Report, written Sat Feb 24 11:10:49 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment     13: Step Time =   0.9286

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     9.81561E-03     9.81561E-03    -3.52332E-03    -3.52332E-03    -535.116E-06    -535.116E-06
               2     9.20073E-03     9.20073E-03    -2.91484E-03    -2.91484E-03    -1.48297E-06    -1.48297E-06
               3     9.20613E-03     9.20613E-03    -2.92749E-03    -2.92749E-03    -166.363E-09    -166.363E-09
               4     9.31029E-03     9.31029E-03    -2.96118E-03    -2.96118E-03     50.8368E-06     50.8368E-06
               5     9.81909E-03     9.81909E-03    -3.52303E-03    -3.52303E-03     516.235E-06     516.235E-06
               6     9.20072E-03     9.20072E-03    -2.91483E-03    -2.91483E-03     1.48283E-06     1.48283E-06
               7     7.35723E-03     7.35723E-03    -2.15586E-03    -2.15586E-03    -74.7583E-06    -74.7583E-06
               8     9.27700E-03     9.27700E-03    -2.95071E-03    -2.95071E-03    -42.8545E-06    -42.8545E-06
               9     9.84102E-03     9.84102E-03    -3.54794E-03    -3.54794E-03     584.969E-06     584.969E-06
              10     9.54583E-03     9.54583E-03    -2.16833E-03    -2.16833E-03     28.6241E-06     28.6241E-06
              11     9.31210E-03     9.31210E-03    -2.96178E-03    -2.96178E-03    -50.8276E-06    -50.8276E-06
              12     9.20612E-03     9.20612E-03    -2.92749E-03    -2.92749E-03     166.401E-09     166.401E-09
              13     7.81794E-03     7.81794E-03    -120.865E-06    -120.865E-06    -1.51047E-03    -1.51047E-03
              14     13.4412E-03     13.4412E-03    -2.53178E-03    -2.53178E-03    -5.98024E-03    -5.98024E-03
              15     9.83136E-03     9.83136E-03    -3.54746E-03    -3.54746E-03    -618.726E-06    -618.726E-06
              16     9.27819E-03     9.27819E-03    -2.95112E-03    -2.95112E-03     42.8931E-06     42.8931E-06
              17     9.53834E-03     9.53834E-03    -2.15501E-03    -2.15501E-03    -73.0546E-06    -73.0546E-06
              18     7.81802E-03     7.81802E-03    -120.958E-06    -120.958E-06     1.51012E-03     1.51012E-03
              19     7.39284E-03     7.39284E-03    -2.19083E-03    -2.19083E-03    -74.6542E-06    -74.6542E-06
              20     13.4412E-03     13.4412E-03    -2.53178E-03    -2.53178E-03     5.98023E-03     5.98023E-03
              21     1.89901E-03     1.89901E-03    -6.40292E-03    -6.40292E-03     13.4322E-06     13.4322E-06
              22     7.08019E-03     7.08019E-03    -645.179E-06    -645.179E-06    -9.94079E-03    -9.94079E-03
              23     22.9785E-03     22.9785E-03    -5.99201E-03    -5.99201E-03     6.80715E-06     6.80715E-06
