********************************************************************************
Field Output Report, written Sat Feb 24 11:10:49 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment     14: Step Time =    1.000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     10.5662E-03     10.5662E-03    -3.79228E-03    -3.79228E-03    -578.388E-06    -578.388E-06
               2     9.90503E-03     9.90503E-03    -3.13801E-03    -3.13801E-03    -1.59048E-06    -1.59048E-06
               3     9.91080E-03     9.91080E-03    -3.15157E-03    -3.15157E-03    -178.322E-09    -178.322E-09
               4     10.0234E-03     10.0234E-03    -3.18799E-03    -3.18799E-03     54.6239E-06     54.6239E-06
               5     10.5700E-03     10.5700E-03    -3.79198E-03    -3.79198E-03     558.081E-06     558.081E-06
               6     9.90502E-03     9.90502E-03    -3.13801E-03    -3.13801E-03     1.59032E-06     1.59032E-06
               7     7.92191E-03     7.92191E-03    -2.32165E-03    -2.32165E-03    -80.3893E-06    -80.3893E-06
               8     9.98769E-03     9.98769E-03    -3.17675E-03    -3.17675E-03    -46.0591E-06    -46.0591E-06
               9     10.5935E-03     10.5935E-03    -3.81871E-03    -3.81871E-03     631.854E-06     631.854E-06
              10     10.2778E-03     10.2778E-03    -2.33526E-03    -2.33526E-03     30.7103E-06     30.7103E-06
              11     10.0254E-03     10.0254E-03    -3.18864E-03    -3.18864E-03    -54.6131E-06    -54.6131E-06
              12     9.91078E-03     9.91078E-03    -3.15157E-03    -3.15157E-03     178.363E-09     178.363E-09
              13     8.41635E-03     8.41635E-03    -130.223E-06    -130.223E-06    -1.62581E-03    -1.62581E-03
              14     14.4680E-03     14.4680E-03    -2.72649E-03    -2.72649E-03    -6.43507E-03    -6.43507E-03
              15     10.5831E-03     10.5831E-03    -3.81817E-03    -3.81817E-03    -668.150E-06    -668.150E-06
              16     9.98897E-03     9.98897E-03    -3.17719E-03    -3.17719E-03     46.1000E-06     46.1000E-06
              17     10.2697E-03     10.2697E-03    -2.32092E-03    -2.32092E-03    -78.4568E-06    -78.4568E-06
              18     8.41643E-03     8.41643E-03    -130.323E-06    -130.323E-06     1.62543E-03     1.62543E-03
              19     7.96015E-03     7.96015E-03    -2.35918E-03    -2.35918E-03    -80.2757E-06    -80.2757E-06
              20     14.4680E-03     14.4680E-03    -2.72649E-03    -2.72649E-03     6.43505E-03     6.43505E-03
              21     2.04165E-03     2.04165E-03    -6.88508E-03    -6.88508E-03     14.2078E-06     14.2078E-06
              22     7.62204E-03     7.62204E-03    -686.737E-06    -686.737E-06    -10.7184E-03    -10.7184E-03
              23     24.7336E-03     24.7336E-03    -6.45540E-03    -6.45540E-03     7.29132E-06     7.29132E-06
