********************************************************************************
Field Output Report, written Sat Feb 24 11:10:47 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      4: Step Time =   0.2857

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     3.03170E-03     3.03170E-03    -1.08946E-03    -1.08946E-03    -159.160E-06    -159.160E-06
               2     2.83990E-03     2.83990E-03    -899.562E-06    -899.562E-06    -473.572E-09    -473.572E-09
               3     2.84168E-03     2.84168E-03    -903.639E-06    -903.639E-06    -53.4008E-09    -53.4008E-09
               4     2.87256E-03     2.87256E-03    -913.638E-06    -913.638E-06     15.9651E-06     15.9651E-06
               5     3.03274E-03     3.03274E-03    -1.08934E-03    -1.08934E-03     153.283E-06     153.283E-06
               6     2.83990E-03     2.83990E-03    -899.562E-06    -899.562E-06     473.529E-09     473.529E-09
               7     2.26693E-03     2.26693E-03    -663.430E-06    -663.430E-06    -23.3154E-06    -23.3154E-06
               8     2.86202E-03     2.86202E-03    -910.322E-06    -910.322E-06    -13.4259E-06    -13.4259E-06
               9     3.03968E-03     3.03968E-03    -1.09726E-03    -1.09726E-03     175.081E-06     175.081E-06
              10     2.94328E-03     2.94328E-03    -666.817E-06    -666.817E-06     9.11036E-06     9.11036E-06
              11     2.87313E-03     2.87313E-03    -913.825E-06    -913.825E-06    -15.9645E-06    -15.9645E-06
              12     2.84168E-03     2.84168E-03    -903.639E-06    -903.639E-06     53.4118E-09     53.4118E-09
              13     2.41321E-03     2.41321E-03    -37.0312E-06    -37.0312E-06    -466.936E-06    -466.936E-06
              14     4.15423E-03     4.15423E-03    -779.073E-06    -779.073E-06    -1.85347E-03    -1.85347E-03
              15     3.03676E-03     3.03676E-03    -1.09717E-03    -1.09717E-03    -185.617E-06    -185.617E-06
              16     2.86238E-03     2.86238E-03    -910.445E-06    -910.445E-06     13.4396E-06     13.4396E-06
              17     2.94095E-03     2.94095E-03    -662.685E-06    -662.685E-06    -23.0459E-06    -23.0459E-06
              18     2.41323E-03     2.41323E-03    -37.0596E-06    -37.0596E-06     466.829E-06     466.829E-06
              19     2.27818E-03     2.27818E-03    -674.515E-06    -674.515E-06    -23.2873E-06    -23.2873E-06
              20     4.15423E-03     4.15423E-03    -779.073E-06    -779.073E-06     1.85347E-03     1.85347E-03
              21     593.268E-06     593.268E-06    -1.99716E-03    -1.99716E-03     4.80488E-06     4.80488E-06
              22     2.18536E-03     2.18536E-03    -219.577E-06    -219.577E-06    -3.02451E-03    -3.02451E-03
              23     7.10282E-03     7.10282E-03    -1.83690E-03    -1.83690E-03     2.19961E-06     2.19961E-06
              24     2.21672E-03     2.21672E-03    -215.365E-06    -215.365E-06     3.06678E-03     3.06678E-03
