********************************************************************************
Field Output Report, written Sat Feb 24 11:10:47 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      1: Step Time =   7.1429E-02

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1         123.379         123.379        -5.78040        -5.78040        -2.46158        -2.46158
               2         117.321         117.321     164.101E-03     164.101E-03    -7.50335E-03    -7.50335E-03
               3         117.345         117.345     751.303E-06     751.303E-06    -847.566E-06    -847.566E-06
               4         118.599         118.599    -7.64942E-03    -7.64942E-03     251.554E-03     251.554E-03
               5         123.428         123.428        -5.75940        -5.75940         2.36925         2.36925
               6         117.321         117.321     164.125E-03     164.125E-03     7.50267E-03     7.50267E-03
               7         94.3961         94.3961         2.65093         2.65093    -366.523E-03    -366.523E-03
               8         118.159         118.159    -9.35373E-03    -9.35373E-03    -211.377E-03    -211.377E-03
               9         123.633         123.633        -6.02444        -6.02444         2.71382         2.71382
              10         125.434         125.434         12.3874         12.3874     144.181E-03     144.181E-03
              11         118.623         118.623    -7.94432E-03    -7.94432E-03    -251.557E-03    -251.557E-03
              12         117.345         117.345     751.463E-06     751.463E-06     847.732E-06     847.732E-06
              13         110.322         110.322         33.5570         33.5570        -7.31834        -7.31834
              14         179.555         179.555         24.9616         24.9616        -29.0746        -29.0746
              15         123.501         123.501        -6.06380        -6.06380        -2.87948        -2.87948
              16         118.174         118.174    -9.72042E-03    -9.72042E-03     211.600E-03     211.600E-03
              17         125.387         125.387         12.5432         12.5432    -363.658E-03    -363.658E-03
              18         110.323         110.323         33.5561         33.5561         7.31666         7.31666
              19         94.7536         94.7536         2.30280         2.30280    -366.103E-03    -366.103E-03
              20         179.555         179.555         24.9615         24.9615         29.0745         29.0745
              21        -1.91376        -1.91376        -83.3691        -83.3691     78.7538E-03     78.7538E-03
              22         97.0773         97.0773         21.5183         21.5183        -47.1451        -47.1451
              23         299.689         299.689         19.6304         19.6304     34.9922E-03     34.9922E-03
              24         98.5783         98.5783         22.1707         22.1707         47.8058         47.8058
              25         98.7602         98.7602         22.1960         22.1960         47.9017         47.9017
              26         95.3121         95.3121         21.2006         21.2006        -46.6408        -46.6408
              27         300.281         300.281         19.4267         19.4267         1.38242         1.38242
              28        -1.92705        -1.92705        -83.7357        -83.7357     84.8470E-03     84.8470E-03
              29         121.080         121.080        -4.64976        -4.64976        -2.92061        -2.92061
              30         119.744         119.744        -3.91956        -3.91956        -3.22233        -3.22233
              31         118.681         118.681        -3.14938        -3.14938        -3.24652        -3.24652
              32         117.888         117.888        -2.44082        -2.44082        -3.10397        -3.10397
              33         117.322         117.322        -1.82928        -1.82928        -2.87791        -2.87791
              34         116.933         116.933        -1.31945        -1.31945        -2.62208        -2.62208
