********************************************************************************
Field Output Report, written Sat Feb 24 11:10:49 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment     13: Step Time =   0.9286

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     1.59611E+03     1.59611E+03        -73.7837        -73.7837        -33.4955        -33.4955
               2     1.51876E+03     1.51876E+03         2.01817         2.01817    -92.8264E-03    -92.8264E-03
               3     1.51901E+03     1.51901E+03     10.4656E-03     10.4656E-03    -10.4134E-03    -10.4134E-03
               4     1.53617E+03     1.53617E+03    -93.4036E-03    -93.4036E-03         3.18212         3.18212
               5     1.59677E+03     1.59677E+03        -73.5275        -73.5275         32.3137         32.3137
               6     1.51876E+03     1.51876E+03         2.01846         2.01846     92.8175E-03     92.8175E-03
               7     1.22467E+03     1.22467E+03         33.7275         33.7275        -4.67949        -4.67949
               8     1.53067E+03     1.53067E+03    -114.147E-03    -114.147E-03        -2.68247        -2.68247
               9     1.59934E+03     1.59934E+03        -76.8197        -76.8197         36.6160         36.6160
              10     1.62568E+03     1.62568E+03         159.193         159.193         1.79172         1.79172
              11     1.53647E+03     1.53647E+03    -97.4450E-03    -97.4450E-03        -3.18155        -3.18155
              12     1.51901E+03     1.51901E+03     10.4680E-03     10.4680E-03     10.4158E-03     10.4158E-03
              13     1.42803E+03     1.42803E+03         434.170         434.170        -94.5474        -94.5474
              14     2.31952E+03     2.31952E+03         319.864         319.864        -374.332        -374.332
              15     1.59760E+03     1.59760E+03        -77.2954        -77.2954        -38.7290        -38.7290
              16     1.53086E+03     1.53086E+03    -119.297E-03    -119.297E-03         2.68488         2.68488
              17     1.62509E+03     1.62509E+03         161.202         161.202        -4.57284        -4.57284
              18     1.42804E+03     1.42804E+03         434.157         434.157         94.5255         94.5255
              19     1.22916E+03     1.22916E+03         29.3877         29.3877        -4.67297        -4.67297
              20     2.31952E+03     2.31952E+03         319.864         319.864         374.332         374.332
              21        -25.1705        -25.1705    -1.06449E+03    -1.06449E+03     840.788E-03     840.788E-03
              22     1.26200E+03     1.26200E+03         294.861         294.861        -622.242        -622.242
              23     3.86822E+03     3.86822E+03         241.412         241.412     426.094E-03     426.094E-03
              24     1.28147E+03     1.28147E+03         303.261         303.261         630.867         630.867
              25     1.28375E+03     1.28375E+03         303.622         303.622         632.099         632.099
              26     1.23918E+03     1.23918E+03         290.951         290.951        -615.711        -615.711
              27     3.87577E+03     3.87577E+03         238.723         238.723         18.1642         18.1642
              28        -25.3487        -25.3487    -1.06906E+03    -1.06906E+03     919.909E-03     919.909E-03
              29     1.56642E+03     1.56642E+03        -59.1244        -59.1244        -38.8511        -38.8511
              30     1.54918E+03     1.54918E+03        -49.6751        -49.6751        -42.4052        -42.4052
