********************************************************************************
Field Output Report, written Sat Feb 24 11:10:47 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      4: Step Time =   0.2857

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1         492.911         492.911        -23.0151        -23.0151        -9.96258        -9.96258
               2         468.790         468.790     647.328E-03     647.328E-03    -29.6432E-03    -29.6432E-03
               3         468.879         468.879     3.06230E-03     3.06230E-03    -3.34262E-03    -3.34262E-03
               4         473.963         473.963    -30.1014E-03    -30.1014E-03     999.332E-03     999.332E-03
               5         493.109         493.109        -22.9325        -22.9325         9.59471         9.59471
               6         468.790         468.790     647.421E-03     647.421E-03     29.6405E-03     29.6405E-03
               7         377.397         377.397         10.5464         10.5464        -1.45943        -1.45943
               8         472.221         472.221    -36.8071E-03    -36.8071E-03    -840.395E-03    -840.395E-03
               9         493.922         493.922        -23.9806        -23.9806         10.9592         10.9592
              10         501.353         501.353         49.4054         49.4054     570.261E-03     570.261E-03
              11         474.056         474.056    -31.2974E-03    -31.2974E-03    -999.295E-03    -999.295E-03
              12         468.879         468.879     3.06295E-03     3.06295E-03     3.34330E-03     3.34330E-03
              13         440.813         440.813         134.068         134.068        -29.2278        -29.2278
              14         717.084         717.084         99.4857         99.4857        -116.018        -116.018
              15         493.391         493.391        -24.1352        -24.1352        -11.6186        -11.6186
              16         472.280         472.280    -38.3036E-03    -38.3036E-03     841.252E-03     841.252E-03
              17         501.165         501.165         50.0275         50.0275        -1.44256        -1.44256
              18         440.815         440.815         134.064         134.064         29.2211         29.2211
              19         378.816         378.816         9.16845         9.16845        -1.45767        -1.45767
              20         717.084         717.084         99.4856         99.4856         116.018         116.018
              21        -7.67793        -7.67793        -331.972        -331.972     300.761E-03     300.761E-03
              22         388.333         388.333         87.2597         87.2597        -189.319        -189.319
              23     1.19659E+03     1.19659E+03         77.4262         77.4262     137.688E-03     137.688E-03
              24         394.335         394.335         89.8632         89.8632         191.965         191.965
              25         395.056         395.056         89.9669         89.9669         192.347         192.347
              26         381.283         381.283         86.0060         86.0060        -187.303        -187.303
              27     1.19894E+03     1.19894E+03         76.6080         76.6080         5.54521         5.54521
              28        -7.73151        -7.73151        -333.424        -333.424     325.126E-03     325.126E-03
              29         483.732         483.732        -18.4956        -18.4956        -11.7512        -11.7512
              30         478.397         478.397        -15.5782        -15.5782        -12.9295        -12.9295
              31         474.159         474.159        -12.5067        -12.5067        -13.0044        -13.0044
              32         471.002         471.002        -9.68466        -9.68466        -12.4189        -12.4189
              33         468.751         468.751        -7.25127        -7.25127        -11.5046        -11.5046
              34         467.207         467.207        -5.22414        -5.22414        -10.4751        -10.4751
              35         466.188         466.188        -3.56344        -3.56344        -9.45007        -9.45007
