
                             U1 Node 2 in NSET                   
                  X                 RIGHT              RF1       

                0.                 0.                -0.         
              100.E-03           100.E-03            13.1274E+03 
              200.E-03           200.E-03            26.2158E+03 
              300.E-03           300.E-03            39.2652E+03 
              400.E-03           400.E-03            52.2758E+03 
              500.E-03           500.E-03            65.2478E+03 
              600.E-03           600.E-03            78.1813E+03 
              700.E-03           700.E-03            91.0764E+03 
              800.E-03           800.E-03           103.933E+03  
              900.E-03           900.E-03           116.752E+03  
                1.                 1.               129.533E+03  




