********************************************************************************
Field Output Report, written Thu Feb 22 21:47:41 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      7: Step Time =   0.7000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label         LE.LE11         LE.LE11         LE.LE22         LE.LE22         LE.LE12         LE.LE12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     7.40945E-03     7.40945E-03    -2.66068E-03    -2.66068E-03    -398.645E-06    -398.645E-06
               2     6.94368E-03     6.94368E-03    -2.19968E-03    -2.19968E-03    -1.13278E-06    -1.13278E-06
               3     6.94785E-03     6.94785E-03    -2.20937E-03    -2.20937E-03    -127.310E-09    -127.310E-09
               4     7.02536E-03     7.02536E-03    -2.23445E-03    -2.23445E-03     38.6016E-06     38.6016E-06
               5     7.41205E-03     7.41205E-03    -2.66044E-03    -2.66044E-03     384.353E-06     384.353E-06
               6     6.94367E-03     6.94367E-03    -2.19968E-03    -2.19968E-03     1.13268E-06     1.13268E-06
               7     5.54902E-03     5.54902E-03    -1.62528E-03    -1.62528E-03    -56.6261E-06    -56.6261E-06
               8     7.00000E-03     7.00000E-03    -2.22648E-03    -2.22648E-03    -32.5126E-06    -32.5126E-06
               9     7.42875E-03     7.42875E-03    -2.67944E-03    -2.67944E-03     436.728E-06     436.728E-06
              10     7.20138E-03     7.20138E-03    -1.63429E-03    -1.63429E-03     21.8392E-06     21.8392E-06
              11     7.02673E-03     7.02673E-03    -2.23491E-03    -2.23491E-03    -38.5966E-06    -38.5966E-06
              12     6.94784E-03     6.94784E-03    -2.20937E-03    -2.20937E-03     127.338E-09     127.338E-09
              13     5.90021E-03     5.90021E-03    -90.9767E-06    -90.9767E-06    -1.14055E-03    -1.14055E-03
              14     10.1487E-03     10.1487E-03    -1.90865E-03    -1.90865E-03    -4.51984E-03    -4.51984E-03
              15     7.42151E-03     7.42151E-03    -2.67913E-03    -2.67913E-03    -462.305E-06    -462.305E-06
              16     7.00090E-03     7.00090E-03    -2.22678E-03    -2.22678E-03     32.5433E-06     32.5433E-06
              17     7.19571E-03     7.19571E-03    -1.62422E-03    -1.62422E-03    -55.5618E-06    -55.5618E-06
              18     5.90027E-03     5.90027E-03    -91.0464E-06    -91.0464E-06     1.14029E-03     1.14029E-03
              19     5.57612E-03     5.57612E-03    -1.65192E-03    -1.65192E-03    -56.5510E-06    -56.5510E-06
              20     10.1486E-03     10.1486E-03    -1.90865E-03    -1.90865E-03     4.51983E-03     4.51983E-03
              21     1.43930E-03     1.43930E-03    -4.85017E-03    -4.85017E-03     10.7064E-06     10.7064E-06
              22     5.34351E-03     5.34351E-03    -504.556E-06    -504.556E-06    -7.46454E-03    -7.46454E-03
              23     17.3503E-03     17.3503E-03    -4.51137E-03    -4.51137E-03     5.22134E-06     5.22134E-06
