********************************************************************************
Field Output Report, written Thu Feb 22 21:47:43 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment     10: Step Time =    1.000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     1.71819E+03     1.71819E+03        -79.3399        -79.3399        -36.2041        -36.2041
               2     1.63502E+03     1.63502E+03         2.16345         2.16345    -99.5557E-03    -99.5557E-03
               3     1.63528E+03     1.63528E+03     11.3280E-03     11.3280E-03    -11.1620E-03    -11.1620E-03
               4     1.65383E+03     1.65383E+03    -100.098E-03    -100.098E-03         3.41917         3.41917
               5     1.71890E+03     1.71890E+03        -79.0655        -79.0655         34.9330         34.9330
               6     1.63502E+03     1.63502E+03         2.16376         2.16376     99.5460E-03     99.5460E-03
               7     1.31865E+03     1.31865E+03         36.2573         36.2573        -5.03196        -5.03196
               8     1.64793E+03     1.64793E+03    -122.315E-03    -122.315E-03        -2.88306        -2.88306
               9     1.72166E+03     1.72166E+03        -82.5975        -82.5975         39.5508         39.5508
              10     1.75030E+03     1.75030E+03         171.276         171.276         1.92231         1.92231
              11     1.65415E+03     1.65415E+03    -104.468E-03    -104.468E-03        -3.41849        -3.41849
              12     1.63528E+03     1.63528E+03     11.3307E-03     11.3307E-03     11.1646E-03     11.1646E-03
              13     1.53732E+03     1.53732E+03         467.382         467.382        -101.767        -101.767
              14     2.49664E+03     2.49664E+03         344.059         344.059        -402.802        -402.802
              15     1.71978E+03     1.71978E+03        -83.1067        -83.1067        -41.8228        -41.8228
              16     1.64814E+03     1.64814E+03    -127.895E-03    -127.895E-03         2.88562         2.88562
              17     1.74966E+03     1.74966E+03         173.439         173.439        -4.91099        -4.91099
              18     1.53733E+03     1.53733E+03         467.369         467.369         101.744         101.744
              19     1.32347E+03     1.32347E+03         31.5999         31.5999        -5.02485        -5.02485
              20     2.49664E+03     2.49664E+03         344.059         344.059         402.801         402.801
              21        -27.1321        -27.1321    -1.14467E+03    -1.14467E+03     889.331E-03     889.331E-03
              22     1.35903E+03     1.35903E+03         318.862         318.862        -670.916        -670.916
              23     4.16334E+03     4.16334E+03         258.802         258.802     456.398E-03     456.398E-03
              24     1.38000E+03     1.38000E+03         327.900         327.900         680.208         680.208
              25     1.38245E+03     1.38245E+03         328.292         328.292         681.532         681.532
              26     1.33447E+03     1.33447E+03         314.670         314.670        -663.885        -663.885
              27     4.17146E+03     4.17146E+03         255.903         255.903         19.5776         19.5776
              28        -27.3245        -27.3245    -1.14958E+03    -1.14958E+03     974.531E-03     974.531E-03
              29     1.68623E+03     1.68623E+03        -63.5564        -63.5564        -41.9175        -41.9175
              30     1.66768E+03     1.66768E+03        -53.3842        -53.3842        -45.7124        -45.7124
