********************************************************************************
Field Output Report, written Thu Feb 22 21:47:42 2024

Source 1
---------

   ODB: C:/Users/Isabel Haycock/OneDrive - Imperial College London/Fourth Year/FYP/Isabel Haycock/06 - FE models/Specimen_2/Plate_hole_1.odb
   Step: load
   Frame: Increment      9: Step Time =   0.9000

Loc 1 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SNEG, (fraction = -1.0), Layer = 1
Loc 2 : Nodal values at shell < composite > < elset = ASSEMBLY_PLATE_1-1_COMPOSITELAYUP-1-1 > from source 1 : SPOS, (fraction = 1.0), Layer = 8

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLATE_1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label           S.S11           S.S11           S.S22           S.S22           S.S12           S.S12
                          @Loc 1          @Loc 2          @Loc 1          @Loc 2          @Loc 1          @Loc 2
-----------------------------------------------------------------------------------------------------------------
               1     1.54725E+03     1.54725E+03        -71.5564        -71.5564        -32.4172        -32.4172
               2     1.47224E+03     1.47224E+03         1.95968         1.95968    -90.1187E-03    -90.1187E-03
               3     1.47248E+03     1.47248E+03     10.1228E-03     10.1228E-03    -10.1120E-03    -10.1120E-03
               4     1.48908E+03     1.48908E+03    -90.7075E-03    -90.7075E-03         3.08699         3.08699
               5     1.54789E+03     1.54789E+03        -71.3076        -71.3076         31.2712         31.2712
               6     1.47224E+03     1.47224E+03         1.95996         1.95996     90.1101E-03     90.1101E-03
               7     1.18707E+03     1.18707E+03         32.7130         32.7130        -4.53820        -4.53820
               8     1.48375E+03     1.48375E+03    -110.857E-03    -110.857E-03        -2.60200        -2.60200
               9     1.55038E+03     1.55038E+03        -74.5033        -74.5033         35.4468         35.4468
              10     1.57582E+03     1.57582E+03         154.353         154.353         1.73920         1.73920
              11     1.48937E+03     1.48937E+03    -94.6180E-03    -94.6180E-03        -3.08645        -3.08645
              12     1.47248E+03     1.47248E+03     10.1251E-03     10.1251E-03     10.1143E-03     10.1143E-03
              13     1.38429E+03     1.38429E+03         420.877         420.877        -91.6573        -91.6573
              14     2.24862E+03     2.24862E+03         310.169         310.169        -362.932        -362.932
              15     1.54869E+03     1.54869E+03        -74.9656        -74.9656        -37.4961        -37.4961
              16     1.48393E+03     1.48393E+03    -115.836E-03    -115.836E-03         2.60436         2.60436
              17     1.57524E+03     1.57524E+03         156.300         156.300        -4.43704        -4.43704
              18     1.38429E+03     1.38429E+03         420.865         420.865         91.6360         91.6360
              19     1.19143E+03     1.19143E+03         28.5009         28.5009        -4.53192        -4.53192
              20     2.24862E+03     2.24862E+03         310.169         310.169         362.931         362.931
              21        -24.3868        -24.3868    -1.03235E+03    -1.03235E+03     820.734E-03     820.734E-03
              22     1.22318E+03     1.22318E+03         285.312         285.312        -602.804        -602.804
              23     3.75007E+03     3.75007E+03         234.410         234.410     413.879E-03     413.879E-03
              24     1.24206E+03     1.24206E+03         293.456         293.456         611.163         611.163
              25     1.24427E+03     1.24427E+03         293.805         293.805         612.357         612.357
              26     1.20106E+03     1.20106E+03         281.515         281.515        -596.473        -596.473
              27     3.75739E+03     3.75739E+03         231.806         231.806         17.5994         17.5994
              28        -24.5594        -24.5594    -1.03679E+03    -1.03679E+03     897.424E-03     897.424E-03
              29     1.51847E+03     1.51847E+03        -57.3470        -57.3470        -37.6276        -37.6276
              30     1.50175E+03     1.50175E+03        -48.1871        -48.1871        -41.0841        -41.0841
